id,name,created_at,updated_at
1,lron oxide color,2024-05-02 10:49:16.72953,
2,vitamins (thiamine mononitrate,2024-05-02 10:49:16.72953,
3,paprika powder,2024-05-02 10:49:16.72953,
4,organic dried egg,2024-05-02 10:49:16.72953,
5,minerals [zinc polysaccharide complex,2024-05-02 10:49:16.72953,
6,folate,2024-05-02 10:49:16.72953,
7,organic parsley,2024-05-02 10:49:16.72953,
8,dried kelp.,2024-05-02 10:49:16.72953,
9,dried whole egg,2024-05-02 10:49:16.72953,
10,coconut,2024-05-02 10:49:16.72953,
11,dried alfalfa meal,2024-05-02 10:49:16.72953,
12,vitamin esupplement,2024-05-02 10:49:16.72953,
13,carob,2024-05-02 10:49:16.72953,
14,fresh carrots,2024-05-02 10:49:16.72953,
15,pheasant,2024-05-02 10:49:16.72953,
16,brewer s dried yeast,2024-05-02 10:49:16.72953,
17,flaxseed (source of omega 3 fatty acids),2024-05-02 10:49:16.72953,
18,xantham gum,2024-05-02 10:49:16.72953,
19,potassium sorbate (a preservative),2024-05-02 10:49:16.72953,
20,ocean fish (sardine,2024-05-02 10:49:16.72953,
21,d-calcium pantothenate),2024-05-02 10:49:16.72953,
22,dried saccharomyces cerevisiae fermentation extract,2024-05-02 10:49:16.72953,
23,trace minerals[zinc proteinate,2024-05-02 10:49:16.72953,
24,barley malt,2024-05-02 10:49:16.72953,
25,green beans (dried),2024-05-02 10:49:16.72953,
26,organic dried dulse powder,2024-05-02 10:49:16.72953,
27,coconut milk,2024-05-02 10:49:16.72953,
28,chondroitin sulphate,2024-05-02 10:49:16.72953,
29,vegetable oil,2024-05-02 10:49:16.72953,
30,calcium iodate),2024-05-02 10:49:16.72953,
31,whole grain barley,2024-05-02 10:49:16.72953,
32,canola oil(preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
33,dried brewers yeast,2024-05-02 10:49:16.72953,
34,tocopherols (preservative),2024-05-02 10:49:16.72953,
35,water for processing,2024-05-02 10:49:16.72953,
36,asorbyl 2-phosphate,2024-05-02 10:49:16.72953,
37,dried colostrum,2024-05-02 10:49:16.72953,
38,beet extract,2024-05-02 10:49:16.72953,
39,spray dried egg product,2024-05-02 10:49:16.72953,
40,deboned halibut,2024-05-02 10:49:16.72953,
